
2022/02/21 (14:42:06) | ===> btop++ v.1.2.3
2022/02/21 (14:42:06) | INFO: Logger set to DEBUG
2022/02/21 (14:42:06) | DEBUG: Using locale en_US.UTF-8
2022/02/21 (14:42:06) | INFO: Running on /dev/pts/2

2022/02/21 (14:42:36) | ===> btop++ v.1.2.3
2022/02/21 (14:42:36) | INFO: Logger set to DEBUG
2022/02/21 (14:42:36) | DEBUG: Using locale en_US.UTF-8
2022/02/21 (14:42:36) | INFO: Running on /dev/pts/2
2022/02/21 (14:42:36) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme
2022/02/21 (14:43:24) | DEBUG: Writing new config file
2022/02/21 (14:43:24) | INFO: Quitting! Runtime: 00:00:48

2022/02/21 (14:43:26) | ===> btop++ v.1.2.3
2022/02/21 (14:43:26) | INFO: Logger set to DEBUG
2022/02/21 (14:43:26) | DEBUG: Using locale en_US.UTF-8
2022/02/21 (14:43:26) | INFO: Running on /dev/pts/2
2022/02/21 (14:43:26) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/02/21 (14:43:33) | ===> btop++ v.1.2.3
2022/02/21 (14:43:33) | INFO: Logger set to DEBUG
2022/02/21 (14:43:33) | DEBUG: Using locale en_US.UTF-8
2022/02/21 (14:43:33) | INFO: Running on /dev/pts/2
2022/02/21 (14:43:33) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/02/21 (15:24:21) | ===> btop++ v.1.2.3
2022/02/21 (15:24:21) | INFO: Logger set to DEBUG
2022/02/21 (15:24:21) | DEBUG: Using locale en_US.UTF-8
2022/02/21 (15:24:21) | INFO: Running on /dev/pts/0
2022/02/21 (15:24:21) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/02/21 (17:02:16) | ===> btop++ v.1.2.3
2022/02/21 (17:02:16) | INFO: Logger set to DEBUG
2022/02/21 (17:02:16) | DEBUG: Using locale en_US.UTF-8
2022/02/21 (17:02:16) | INFO: Running on /dev/pts/0
2022/02/21 (17:02:16) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/02/24 (12:49:20) | ===> btop++ v.1.2.3
2022/02/24 (12:49:20) | INFO: Logger set to DEBUG
2022/02/24 (12:49:20) | DEBUG: Using locale en_US.UTF-8
2022/02/24 (12:49:20) | INFO: Running on /dev/pts/0
2022/02/24 (12:49:20) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme
2022/02/24 (13:40:43) | INFO: Quitting! Runtime: 00:51:23

2022/02/24 (13:40:51) | ===> btop++ v.1.2.3
2022/02/24 (13:40:51) | INFO: Logger set to DEBUG
2022/02/24 (13:40:51) | DEBUG: Using locale en_US.UTF-8
